; ; Trident; EdgeHTML; Gecko; WebKit; KHTML; Presto
Transforms; Transforms; Transforms; Transforms; Transforms; Transforms; Transforms; Transforms
css- transforms- 1; 
css- transforms- 1; transform; 12; 16.0; Experimental; No; 2.12; 
css- transforms- 1; 10.0[ t 31]; 12; 16.0; Experimental; No; 2.12; transform-origin
css- transforms- 1; 10.0[ t 31]; 12; 16.0; Experimental; No; transform-style; 
css- transforms- 1; 10.0[ t 31]; 12; 16.0; Experimental; No; perspective; 
css- transforms- 1; 10.0[ t 31]; 12; 16.0; Experimental; No; perspective-origin; 
css- transforms- 1; 10.0[ t 31]; 12; 16.0; Experimental; No; backface-visibility; 
Transitions; Transitions; Transitions; Transitions; Transitions; Transitions; Transitions; Transitions
css- transitions-1; 
css- transitions-1; transition-property; 12; 16.0[ g 50]; Experimental; No; Experimental; 
css- transitions-1; 10.0[ t 32]; 12; 16.0[ g 50]; Experimental; No; Experimental; transition-duration
css- transitions-1; 10.0[ t 32]; 12; 16.0[ g 50]; Experimental; No; Experimental; transition-timing-function
css- transitions-1; 10.0[ t 32]; 12; 16.0[ g 50]; Experimental; No; Experimental; transition-delay
css- transitions-1; 10.0[ t 32]; 12; 16.0[ g 50]; Experimental; No; Experimental; transition
Flexible Box Layout; Flexible Box Layout; Flexible Box Layout; Flexible Box Layout; Flexible Box Layout; Flexible Box Layout; Flexible Box Layout; Flexible Box Layout
css- flexbox-1; 
css- flexbox-1; flex; 12; 22.0[ g 51]; 9.0[ w 32]; No; 2.12; 
css- flexbox-1; 11.0; 12; 22.0[ g 51]; 9.0[ w 32]; No; flex-basis; No
css- flexbox-1; 11.0; 12; 22.0[ g 51]; 9.0[ w 32]; No; flex-direction; 2.12
css- flexbox-1; 11.0; 12; flex-flow; 9.0[ w 32]; No; 28.0; No
css- flexbox-1; 11.0; 12; flex-grow; 9.0[ w 32]; No; 2.12; 
css- flexbox-1; 11.0; 12; flex-shrink; 9.0[ w 32]; No; No; 
css- flexbox-1; 11.0; 12; flex-wrap; 9.0[ w 32]; No; 28.0; No
css- flexbox-1; 11.0; 12; order; 9.0[ w 32]; No; 22.0; 2.12
; ; Trident; EdgeHTML; Gecko; WebKit; KHTML; Presto
Regions; Regions; Regions; Regions; Regions; Regions; Regions; Regions
css- regions-1; 
css- regions-1; flow-into; 12; No[ g 52]; Nightly build; No; No; 
css- regions-1; 10.0[ t 33]; 12; No[ g 52]; Nightly build; No; No; flow-from
css- regions-1; region-fragment; No; No[ g 52]; Nightly build; No; No; No
css- regions-1; break-before; No; No[ g 52]; Nightly build; No; No; 
css- regions-1; No; No; No[ g 52]; Nightly build; No; No; break-after
css- regions-1; No; No; No[ g 52]; Nightly build; No; No; break-inside
Exclusions; Exclusions; Exclusions; Exclusions; Exclusions; Exclusions; Exclusions; Exclusions
css3- exclusions; 
css3- exclusions; wrap-flow; 12; No[ g 53]; Nightly build; No; No; 
